graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo10155.97,0,0,0,0,0,0,0,0,97,129,5,92,2.6598,8,0.0277
partitioned_grafo10156.97,0,0,0,0,0,0,0,0,97,148,94,3,3.0515,9,0.0318
partitioned_grafo10157.94,0,0,0,0,0,0,0,0,94,120,8,86,2.5532,8,0.0275
partitioned_grafo10158.91,0,0,0,0,0,0,0,0,91,121,70,21,2.6593,9,0.0295
partitioned_grafo10159.95,0,0,0,0,0,0,0,0,95,125,36,59,2.6316,7,0.028
partitioned_grafo1016.18,19,17,3,3,6,3,3,6,18,19,10,8,2.1111,4,0.1242
partitioned_grafo10160.96,0,0,0,0,0,0,0,0,96,138,4,92,2.875,8,0.0303
partitioned_grafo10161.99,0,0,0,0,0,0,0,0,99,148,4,95,2.9899,10,0.0305
partitioned_grafo10162.93,0,0,0,0,0,0,0,0,93,137,4,89,2.9462,11,0.032
partitioned_grafo10163.93,0,0,0,0,0,0,0,0,93,121,26,67,2.6022,10,0.0283
partitioned_grafo10164.98,0,0,0,0,0,0,0,0,98,137,8,90,2.7959,7,0.0288
partitioned_grafo10165.96,0,0,0,0,0,0,0,0,96,125,11,85,2.6042,7,0.0274
partitioned_grafo10166.98,0,0,0,0,0,0,0,0,98,133,9,89,2.7143,6,0.028
partitioned_grafo10167.96,0,0,0,0,0,0,0,0,96,133,8,88,2.7708,8,0.0292
partitioned_grafo10168.95,0,0,0,0,0,0,0,0,95,122,48,47,2.5684,7,0.0273
partitioned_grafo10169.93,0,0,0,0,0,0,0,0,93,116,36,57,2.4946,9,0.0271
partitioned_grafo1017.15,15,15,3,2,5,3,2,5,15,16,8,7,2.1333,5,0.1524
partitioned_grafo10170.96,0,0,0,0,0,0,0,0,96,127,4,92,2.6458,8,0.0279
partitioned_grafo10171.99,0,0,0,0,0,0,0,0,99,140,25,74,2.8283,7,0.0289
partitioned_grafo10172.99,0,0,0,0,0,0,0,0,99,132,9,90,2.6667,7,0.0272
partitioned_grafo10173.97,0,0,0,0,0,0,0,0,97,142,30,67,2.9278,8,0.0305
partitioned_grafo10174.95,0,0,0,0,0,0,0,0,95,131,10,85,2.7579,8,0.0293
partitioned_grafo10175.99,0,0,0,0,0,0,0,0,99,143,25,74,2.8889,8,0.0295
partitioned_grafo10176.97,0,0,0,0,0,0,0,0,97,142,5,92,2.9278,8,0.0305
partitioned_grafo10177.96,0,0,0,0,0,0,0,0,96,122,4,92,2.5417,9,0.0268
partitioned_grafo10178.99,0,0,0,0,0,0,0,0,99,128,19,80,2.5859,8,0.0264
partitioned_grafo10179.97,0,0,0,0,0,0,0,0,97,143,10,87,2.9485,8,0.0307
partitioned_grafo1018.29,0,0,0,0,0,0,0,0,29,36,4,25,2.4828,7,0.0887
partitioned_grafo10180.98,0,0,0,0,0,0,0,0,98,132,13,85,2.6939,9,0.0278
partitioned_grafo10181.93,0,0,0,0,0,0,0,0,93,133,5,88,2.8602,7,0.0311
partitioned_grafo10182.33,25,29,4,5,9,3,6,9,33,33,13,20,2,4,0.0625
partitioned_grafo10183.100,0,0,0,0,0,0,0,0,100,132,9,91,2.64,7,0.0267
partitioned_grafo10184.100,0,0,0,0,0,0,0,0,100,140,10,90,2.8,6,0.0283
partitioned_grafo10185.32,19,23,3,4,7,2,7,9,32,38,9,23,2.375,8,0.0766
partitioned_grafo10186.39,20,16,2,3,5,15,3,18,39,48,31,8,2.4615,7,0.0648
partitioned_grafo10187.33,32,34,6,5,11,6,3,9,33,37,14,19,2.2424,4,0.0701
partitioned_grafo10188.38,5,7,1,1,2,1,10,11,38,48,5,33,2.5263,6,0.0683
partitioned_grafo10189.38,0,0,0,0,0,0,0,0,38,46,5,33,2.4211,7,0.0654
partitioned_grafo1019.11,11,7,2,1,3,2,1,3,11,11,7,4,2,4,0.2
partitioned_grafo10190.34,24,24,5,3,8,6,5,11,34,45,18,16,2.6471,7,0.0802
partitioned_grafo10191.34,30,30,5,5,10,5,4,9,34,38,21,13,2.2353,6,0.0677
partitioned_grafo10192.39,0,0,0,0,0,0,0,0,39,48,24,15,2.4615,5,0.0648
partitioned_grafo10193.38,28,26,5,4,9,0,0,0,38,46,27,11,2.4211,5,0.0654
partitioned_grafo10194.97,0,0,0,0,0,0,0,0,97,134,54,43,2.7629,6,0.0288
partitioned_grafo10195.99,0,0,0,0,0,0,0,0,99,142,85,14,2.8687,10,0.0293
partitioned_grafo10196.94,0,0,0,0,0,0,0,0,94,121,5,89,2.5745,8,0.0277
partitioned_grafo10197.96,0,0,0,0,0,0,0,0,96,135,18,78,2.8125,7,0.0296
partitioned_grafo10198.94,0,0,0,0,0,0,0,0,94,121,4,90,2.5745,8,0.0277
partitioned_grafo10199.98,0,0,0,0,0,0,0,0,98,123,8,90,2.5102,7,0.0259
partitioned_grafo1020.12,0,0,0,0,0,0,0,0,12,11,5,7,1.8333,3,0.1667
partitioned_grafo10200.96,0,0,0,0,0,0,0,0,96,128,73,23,2.6667,8,0.0281
partitioned_grafo10201.93,0,0,0,0,0,0,0,0,93,123,14,79,2.6452,10,0.0288
